確度,部門,プロジェクト名,内外,BIZ,S/L,AOコード,AOコード名,請求先,ヒト・モノ,売上1月,外注費1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
④,ソリ開1,★請求支払ソリューション（4社目）,対象外,CIT,2a 個別案件型ｼｽﾃﾑ開発,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,UiPath教育,内,CIT,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
④,ソリ開1,UiPath教育（StudioX）,内,CIT,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,405,APL,ISID,ヒト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
①,ソリ開1,KHD　運用サポート,外,CIT,5a 個別運用保守ｻｰﾋﾞｽ,999,その他,クラシエホールディングス,ヒト,4370000,1840000,10000,1452000,1068000,0.244,4370000,1840000,10000,1452000,1068000,0.244,4370000,1840000,10000,1452000,1068000,0.244,4370000,1840000,40000,1597200,892800,0.204,4370000,1840000,40000,1597200,892800,0.204,4370000,1840000,40000,1597200,892800,0.204,4370000,1870000,40000,1597200,862800,0.197,4370000,1870000,40000,1597200,862800,0.197,4370000,1870000,40000,1597200,862800,0.197,4370000,1870000,40000,1597200,862800,0.197,4370000,1870000,40000,1597200,862800,0.197,4370000,1870000,40000,1597200,862800,0.197
①,ソリ開1,KP　運用サポート,外,CIT,5a 個別運用保守ｻｰﾋﾞｽ,999,その他,クラシエホールディングス,ヒト,1500000,610000,20000,495000,375000,0.25,1500000,610000,20000,495000,375000,0.25,1500000,674750,20000,495000,310250,0.207,1500000,660000,0,495000,345000,0.23,1500000,660000,0,495000,345000,0.23,1500000,660000,0,495000,345000,0.23,1500000,610000,20000,495000,375000,0.25,1500000,610000,20000,495000,375000,0.25,1500000,610000,20000,495000,375000,0.25,1500000,610000,20000,495000,375000,0.25,1500000,610000,20000,495000,375000,0.25,1500000,610000,20000,495000,375000,0.25
①,ソリ開1,KHD TS-2550タイムサーバー機器保守,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,7000,0,6650,0,350,0.05,7000,0,6650,0,350,0.05,7000,0,6650,0,350,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,KHD Proxyサーバ（ｻﾌﾞｽｸﾘﾌﾟｼｮﾝ）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05,51450,0,48870,0,2580,0.05
①,ソリ開1,KHD Proxyサーバ（保守費用）,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05,43464,0,41288,0,2176,0.05
①,ソリ開1,KHD　SAPサーバ用SW保守（シマンテック）200701-210630 ,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26575,0,6680,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①,ソリ開1,KHD　SAPサーバ用SW保守（シマンテック）210701-220630 ,外,CIT,6b 情報機器･その他ｿﾌﾄ保守,999,その他,クラシエホールディングス,モノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201,33255,0,26570,0,6685,0.201
