会社コード,予実区分,計上年月,案件ナンバ,案件名,案件明細ナンバ,案件明細名,受注ナンバ,プロジェクトナンバ,第1階層コストセンタコード,第2階層コストセンタコード,コストセンタコード,コストセンタ名,科目コード,科目名,配賦用勘定科目区分,勘定科目区分,コストセンタ区分,原価属性,原価区分,サービスラインコード,プロジェクト区分,他勘定振替区分,コスト区分明細,配賦前フラグ,直課識別区分,発生事由区分,原価計算機能ID,配賦サブグループID,仕掛品コストセンタ区分,発生元識別キー,円貨換算金額（予算レート）,円貨換算金額（実績レート）,通貨,実績外貨金額,為替予実差,開発担当コストセンタコード,営業担当コストセンタコード
0007,2,202101,LAAN-1409-00161,K-GSUB ﾗｯｸ導入の件,1,G-K-GSUB ﾗｯｸ導入の件,LAJC-1409-00135,,AN700B,,AN7600,ＩＣＴ営業部,41100,売上高,,,2,0,,HSL,,,,1,,2,,,,02_LASK05-000426389,3031,3031,JPY,3031,0,,
0007,2,202101,LAAN-1409-00161,K-GSUB ﾗｯｸ導入の件,1,G-K-GSUB ﾗｯｸ導入の件,,LAPJ20110008,AN700B,,AN7600,ＩＣＴ営業部,42122,社外原価その他,,4,2,0,03,HSL,P01,1,101,0,,1,05,015,,01_LAKGHG-000111905,2897,2897,,2897,0,AN7920,
0007,2,202101,LAAN-1501-00062,K-GSUB 松山支社 ﾗｯｸ導入の件,1,G-K-GSUB 松山支社 ﾗｯｸ導入の件,LAJC-1501-00140,,AN700B,,AN7600,ＩＣＴ営業部,41100,売上高,,,2,0,,HSL,,,,1,,2,,,,02_LASK05-000426390,2474,2474,JPY,2474,0,,
0007,2,202101,LAAN-1501-00062,K-GSUB 松山支社 ﾗｯｸ導入の件,1,G-K-GSUB 松山支社 ﾗｯｸ導入の件,,LAPJ20110008,AN700B,,AN7600,ＩＣＴ営業部,42122,社外原価その他,,4,2,0,03,HSL,P01,1,101,0,,1,05,015,,01_LAKGHG-000111905,2364,2364,,2364,0,AN7920,
0007,2,202101,LAAN-1601-00068,K-GSUB TV会議ｼｽﾃﾑ ﾘﾌﾟﾚｰｽの件(機器費用),1,G-K-GSUB TV会議ｼｽﾃﾑ ﾘﾌﾟﾚｰｽの件(機器費用),LAJC-1601-00098,,AN700B,,AN7600,ＩＣＴ営業部,41100,売上高,,,2,0,,HSL,,,,1,,2,,,,02_LASK05-000426391,63791,63791,JPY,63791,0,,
0007,2,202101,LAAN-1601-00068,K-GSUB TV会議ｼｽﾃﾑ ﾘﾌﾟﾚｰｽの件(機器費用),1,G-K-GSUB TV会議ｼｽﾃﾑ ﾘﾌﾟﾚｰｽの件(機器費用),,LAPJ20110008,AN700B,,AN7600,ＩＣＴ営業部,42122,社外原価その他,,4,2,0,03,HSL,P01,1,101,0,,1,05,015,,01_LAKGHG-000111905,60963,60963,,60963,0,AN7920,
0007,2,202101,LAAN-1601-00151,旭硝子様向け_TC案件追加サーバ5年保守(相模原),1,旭硝子様向け_TC案件追加サーバ5年保守(相模原)_160201-210131【期間未確定】,LAJC-1601-00421,,AN500B,,AN50M0,事業管理部（ＴＣ）,41100,売上高,,,2,0,,HSM,,,,1,,2,,,,02_LASK05-000426395,989,989,JPY,989,0,,
0007,2,202101,LAAN-1601-00151,旭硝子様向け_TC案件追加サーバ5年保守(相模原),1,旭硝子様向け_TC案件追加サーバ5年保守(相模原)_160201-210131【期間未確定】,,,AN500B,,AN50M0,事業管理部（ＴＣ）,42121,社外原価仕入,,3,2,0,,HSM,,,,1,,1,,,,05_LAKGFR-000060002,910,910,JPY,910,0,,
0007,2,202101,LAAN-1601-00152,旭硝子様向け_TC案件追加サーバ5年保守(愛知),1,旭硝子様向け_TC案件追加サーバ5年保守(愛知)_160201-210131【期間未確定】,LAJC-1601-00417,,AN500B,,AN50M0,事業管理部（ＴＣ）,41100,売上高,,,2,0,,HSM,,,,1,,2,,,,02_LASK05-000426396,989,989,JPY,989,0,,
0007,2,202101,LAAN-1601-00152,旭硝子様向け_TC案件追加サーバ5年保守(愛知),1,旭硝子様向け_TC案件追加サーバ5年保守(愛知)_160201-210131【期間未確定】,,,AN500B,,AN50M0,事業管理部（ＴＣ）,42121,社外原価仕入,,3,2,0,,HSM,,,,1,,1,,,,05_LAKGFR-000060002,910,910,JPY,910,0,,
