確度,営業担当,技術担当,営業/技術,旧部門,部門,案件名,内外,BIZ,ソリューション識別,サービスライン名,"汎用識別
AOコード",汎用識別名,請求先,ヒト・モノ,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
A1,和田,渡邉,営業,EIS,HCM,PO/SB NISSHA　VUP ,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3547500,3150000,,,,397500,0.112,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C1,和田,亀川,営業,EIS,HCM,PO/SB 関西ペイント(人事情報リスト化対応）,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,,,,0,0,,,,,,0,0,,,,,,0,0,850000,750000,,,,100000,0.118,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,円丁,技術,TC,HCM,POSITIVEインフラ支援　西日本【2021年度インフラ支援】,内,BS,HCM／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,3397000,1860000,0,0,760124,776876,0.229,3397000,1959400,0,25936,838381,573283,0.169,3397000,1976360,0,-67799,710172,778267,0.229,3397000,1860000,0,0,695022,841978,0.248,2547000,1180000,0,-16091,712099,670992,0.263,2547000,1180000,0,35000,781605,550395,0.216,3397000,1860000,0,35000,781605,720395,0.212,3397000,1860000,0,35000,781605,720395,0.212,3397000,1860000,0,35000,781605,720395,0.212,3397000,1860000,0,35000,781605,720395,0.212,3397000,1860000,0,35000,781605,720395,0.212,3397000,1860000,0,35000,781605,720395,0.212
A0,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイント新基幹職人事制度改正,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,4428050,3925900,0,0,0,502150,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイント職務給追加,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,1280400,1135200,0,0,0,145200,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイント海外給与計算式変更,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,1707200,1513600,0,0,0,193600,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイント時間外単価変更対応,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333750,1182500,0,0,0,151250,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイントASP遡及月変更対応開発,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523800,464400,0,0,0,59400,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C1,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイント労務管理一覧など仕様変更対応,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,,,,0,0,,,,,,0,0,,,,,,0,0,242500,215000,,,,27500,0.113,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,梶原,営業,EIS,HCM,PO/SB 椿本チエイン　アドバイザー追加対応,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,,,,,,0,0,0,0,0,0,0,0,0,722500,637500,0,0,0,85000,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,梶原,営業,EIS,HCM,PO/SB 石原産業　アドオン保守,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,320,その他,ISID,ヒト,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595000,525000,0,0,0,70000,0.118,0,0,0,0,0,0,0,,,,,,0,0,255000,225000,,,,30000,0.118,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C1,和田,梶原,営業,EIS,HCM,PO/SB 大創産業　サテライトWF連携,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,,,,0,0,,,,,,0,0,2300000,2045000,,,,255000,0.111,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A1,和田,松本,営業,EIS,HCM,PO/SB PO/SB アサヒホールディングVUP,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339500,215000,,,,124500,0.367,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C1,和田,渡邉,営業,EIS,HCM,PO/SB 石原産業　G会社人事制度変更,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,3315000,2925000,,,,390000,0.118,,,,,,0,0,,,,,,0,0
