sol,顧客,"ソリュー
ションコード","ソリュー
ションコード名",SL,サービスライン,分類1,分類2,月,実績_売上,"実績_社外
原価外注","実績_社外
原価仕入","実績_社外
原価その他","実績_
限界利益","実績_
限界利益率","実績_
社内原価","実績_
売上総利益","実績_
売上総利益率",予算_売上,"予算_社外
原価外注","予算_社外
原価仕入","予算_社外
原価その他","予算_
限界利益","予算_
限界利益率","予算_
社内原価","予算_
売上総利益","予算_
売上総利益率",見込_売上,"見込_社外
原価外注","見込_社外
原価仕入","見込_社外
原価その他","見込_
限界利益","見込_
限界利益率","見込_
社内原価","見込_
売上総利益","見込_
売上総利益率",,"見込差異
売上","見込差異
限界利益","見込差異
売総利益","見込差異
社外原価","見込差異
社内原価","見込差異
外注費","見込差異
仕入れ","見込差異
その他",,
IO111月,ISID,IO1,ISID 個別運用 人系 個別運用,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,11月,0,0,0,0,0,0,0,0,0,1800000,847800,0,7200,945000,0.525,410400,534600,0.297,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
IO211月,ISID,IO2,ISID 個別運用 人系 個別運用(関西),OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
IO311月,ISID,IO3,ISID 個別運用 人系 INF,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,11月,0,0,0,0,0,0,0,0,0,1500000,907500,0,0,592500,0.395,226500,366000,0.244,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
IO511月,ISID,IO5,ISID 個別運用 人系 BASISサービス,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,11月,3683482,1613365.116,0,0,2070116.884,0.562,1116095.046,954021.838,0.259,2688000,1177344,0,0,1510656,0.562,814464,696192,0.259,,,,,0,0,,0,0,0.303,3683482,2070116.884,954021.838,1613365.116,1116095.046,1613365.116,0,0,,
IO611月,ISID,IO6,ISID 個別運用 人系 運用保守,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,11月,4353925,1621485.193,0,1874484.601,857955.2053,0.197053281,392595.7052,465359.5001,0.106882755,408560,64848,0,90836,252876,0.618944586,24529,228347,0.558906893,,,,,0,0,,0,0,0.090170525,4353925,857955.2053,465359.5001,3495969.795,392595.7052,1621485.193,0,1874484.601,,
IO811月,ISID,IO8,ISID 個別運用 人系 電通クラウド,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,11月,26079780,7496841.999,0,8327742.188,10255195.81,0.393224015,3300379.903,6954815.91,0.266674639,28774659,6644943,0,10256128,11873588,0.412640442,3700495,8173093,0.284037875,,,,,0,0,,0,0,0.126549377,26079780,10255195.81,6954815.91,15824584.19,3300379.903,7496841.999,0,8327742.188,,
IOA11月,ISID,IOA,ISID 個別運用 回線 DGPN､ﾈｯﾄﾜｰｸ,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
IOB11月,ISID,IOB,ISID 個別運用 回線 その他ﾈｯﾄﾜｰｸ,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,11月,23483,227.624757,0,21134.7,2120.675243,0.090306828,189.7479974,1930.927246,0.0822266,81783,0,0,71656,10127,0.12382769,97,10030,0.122641625,,,,,0,0,,0,0,0.008080228,23483,2120.675243,1930.927246,21362.32476,189.7479974,227.624757,0,21134.7,,
ISC11月,ISID,ISC,ISID ｾﾝﾀｰ利用型運用保守ｻｰﾋﾞｽ,OSC,5b ｾﾝﾀｰ利用型運用保守ｻｰﾋﾞｽ,ヒト,継続,11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
OCN11月,外部,OCN,外部 ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,CON,1  ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,ヒト,新規,11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
