技術担当部署,案件責任,営業/開発担当者,確度,プロジェクト名,S/L,AOコード,AOコード名,セグメント,請求先,内外,カテゴリ,ヒト/モノ,新規・継続,サービスCD,サービス名,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
ＯＰＣ,開発,藤後,A0, iCollex ヘルプデスク,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1,76000,0,0,0,0,76000,1
ＯＰＣ,開発,藤後,A0,LINE Credit様向けヘルプデスクサービス業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,金融,ISID,内,OPC,ヒト,継続,F41,IntraLinkなど上記以外,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1,260000,0,0,0,0,260000,1
ＯＰＣ,,,,(ヘルプデスク　ＢＳ／ＥＩＴ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＯＰＣ,開発,藤後,A0,ISID HRMヘルプデスク業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,BS,ISID,内,OPC,ヒト,継続,B41,Positive,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1,345000,0,0,0,0,345000,1
ＯＰＣ,開発,藤後,A0,OLC向けヘルプデスク業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ＯＰＣ,開発,藤後,A0,OLC向けIF基盤ヘルプデスク業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,130000,0,0,0,0,130000,1,130000,0,0,0,0,130000,1,180000,0,0,0,0,180000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1,150000,0,0,0,0,150000,1
ＯＰＣ,開発,藤後,A0,JTB様向け定期運用サービス業務,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B41,Positive,416666,0,0,0,0,416666,1,416666,0,0,0,0,416666,1,416668,0,0,0,0,416668,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1,500000,0,0,0,0,500000,1
ＯＰＣ,開発,藤後,A0,AIRDO様向け ヘルプデスク,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1
ＯＰＣ,開発,藤後,A0,ANAカーゴ様向け ヘルプデスク,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1
ＯＰＣ,開発,藤後,A0,AFS様向けSTRAVIS on AWSアカウント管理サービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B15,STRAVIS（クラウド）,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1,30000,0,0,0,0,30000,1
